SCAI Rules Documentation ,,,,,,,
#,Source File ,Section,Name,Type,Description,Confilect ,Status
34,component_rules.md,2. Unique Components - Informational,Key Takeaways Box,Highlighted box,Summary of main points; 5-6 bullets,PASSED,FALSE
35,component_rules.md,2. Unique Components - Informational,Quick Facts H2,Text heading,Introduces facts section; shorter than standard H2,PASSED,FALSE
36,component_rules.md,2. Unique Components - Informational,Quick Facts List,Bulleted list,Interesting facts; 5-7 bullets,PASSED,FALSE
37,component_rules.md,2. Unique Components - Listicle,Listicle Count,Count rule,Determines number of items; Odd numbers only,PASSED,FALSE
38,component_rules.md,2. Unique Components - Listicle,Honorable Mentions H2,Text heading,Introduces additional items; shorter than standard H2,PASSED,FALSE
39,component_rules.md,2. Unique Components - Listicle,Honorable Mentions H3,Text heading,Individual mention headings; 3-4 fixed,PASSED,FALSE
40,component_rules.md,2. Unique Components - Listicle,Honorable Mentions Paragraph,Text paragraph,Describes each mention; one per H3,PASSED,FALSE
41,component_rules.md,2. Unique Components - Local,Why Choose Local H2,Text heading,Introduces benefits section; shorter than standard H2,PASSED,FALSE
42,component_rules.md,2. Unique Components - Local,Why Choose Local Image,Image,Left-aligned beside list,PASSED,FALSE
43,component_rules.md,2. Unique Components - Local,Why Choose Local List,Bulleted list,Local provider benefits; 4-5 bullets,PASSED,FALSE
44,component_rules.md,2. Unique Components - Local,Service Info Box,Table,Business information display; 5-6 rows Label + Info columns,PASSED,FALSE
45,component_rules.md,2. Unique Components - Recipe,Ingredients H2,Text heading,Introduces ingredients,PASSED,FALSE
46,component_rules.md,2. Unique Components - Recipe,Ingredients List,Bulleted list,Recipe ingredients in ul format,PASSED,FALSE
47,component_rules.md,2. Unique Components - Recipe,Instructions H2,Text heading,Introduces steps,PASSED,FALSE
48,component_rules.md,2. Unique Components - Recipe,Instructions List,Numbered list,Recipe steps in ol format; one step per item,PASSED,FALSE
49,component_rules.md,2. Unique Components - Recipe,Tips H2,Text heading,Introduces cooking tips,PASSED,FALSE
50,component_rules.md,2. Unique Components - Recipe,Tips Paragraph,Text paragraph,Cooking advice; standard paragraph format,PASSED,FALSE
51,component_rules.md,2. Unique Components - Recipe,Nutrition Facts H2,Text heading,Introduces nutrition,PASSED,FALSE
52,component_rules.md,2. Unique Components - Recipe,Nutrition Table,Table,Nutritional values with amounts,PASSED,FALSE
53,component_rules.md,2. Unique Components - Review,Features H2,Text heading,Introduces features,PASSED,FALSE
54,component_rules.md,2. Unique Components - Review,Features List,Bulleted list,Product/service features; 7-10 bullets,PASSED,FALSE
55,component_rules.md,2. Unique Components - Review,Pros & Cons H2,Text heading,Introduces analysis,PASSED,FALSE
56,component_rules.md,2. Unique Components - Review,Pros & Cons Lists,Dual bulleted lists,Advantages and disadvantages; 5-7 bullets each,PASSED,FALSE
57,component_rules.md,2. Unique Components - Review,Rating H2,Text heading,Introduces rating; shorter than standard H2,PASSED,FALSE
58,component_rules.md,2. Unique Components - Review,Rating Paragraph,Text paragraph,Score + justification,PASSED,FALSE
59,component_rules.md,3. Component Relationships,H1 to Overview Paragraph,Parent-Child,Overview elaborates on H1,PASSED,FALSE
60,component_rules.md,3. Component Relationships,H1 to Featured Image,Parent-Child,Image generated from H1 content,PASSED,FALSE
61,component_rules.md,3. Component Relationships,H2 to Standard Paragraph,Parent-Child,Paragraph elaborates on H2,PASSED,FALSE
62,component_rules.md,3. Component Relationships,H2 to H2 Image,Parent-Child,Image generated from H2 (optional),PASSED,FALSE
63,component_rules.md,3. Component Relationships,H2 Image to H2 Image Alt Text,Parent-Child,Alt text requires image enabled,PASSED,FALSE
64,component_rules.md,3. Component Relationships,Featured Image to Featured Image Alt Text,Parent-Child,Alt text requires image,PASSED,FALSE
65,component_rules.md,3. Component Relationships,FAQ H2 to FAQ H3,Parent-Child,H3s nested under H2; exactly 5,PASSED,FALSE
66,component_rules.md,3. Component Relationships,FAQ H3 to FAQ Answer Paragraph,Parent-Child,Answer paired with H3,PASSED,FALSE
67,component_rules.md,3. Component Relationships,Closing H2 to Closing Paragraph,Parent-Child,Paragraph paired with H2,PASSED,FALSE
68,component_rules.md,3. Component Relationships,Honorable Mentions H2 to H3,Parent-Child,H3s nested under H2; 3-4 fixed,PASSED,FALSE
69,component_rules.md,3. Component Relationships,Honorable Mentions H3 to Paragraph,Parent-Child,Paragraph paired with H3,PASSED,FALSE
70,component_rules.md,3. Component Relationships,Why Choose Local H2 to Image,Parent-Child,Image paired with H2,PASSED,FALSE
71,component_rules.md,3. Component Relationships,Why Choose Local H2 to List,Parent-Child,List paired with H2,PASSED,FALSE
72,component_rules.md,4. Heading Hierarchy Rules,H1 Level Usage,Heading rule,Article title ONLY; Exactly 1 per article; FIRST heading,PASSED,FALSE
73,component_rules.md,4. Heading Hierarchy Rules,H2 Level Usage,Heading rule,ALL content sections; Multiple per article,PASSED,FALSE
74,component_rules.md,4. Heading Hierarchy Rules,H3 Level Usage,Heading rule,FAQ and Honorable Mentions ONLY; Limited use,PASSED,FALSE
75,component_rules.md,4. Heading Hierarchy Rules,H1 is FIRST heading,H1 rule,No other heading can be H1,PASSED,FALSE
76,component_rules.md,4. Heading Hierarchy Rules,Exactly ONE H1 per article,H1 rule,Cannot have multiple H1s,PASSED,FALSE
77,component_rules.md,4. Heading Hierarchy Rules,H1 has 3 types,H1 rule,Statement/Listicle/Question determines all H2 types,PASSED,FALSE
78,component_rules.md,4. Heading Hierarchy Rules,ALL sections use H2,H2 rule,Never use H1 for section headings,PASSED,FALSE
79,component_rules.md,4. Heading Hierarchy Rules,H2 type must match H1 type,H2 rule,Question/Statement/Listicle consistency,PASSED,FALSE
80,component_rules.md,4. Heading Hierarchy Rules,H3 only in FAQ section,H3 rule,Exactly 5 H3s in FAQ,PASSED,FALSE
81,component_rules.md,4. Heading Hierarchy Rules,H3 only in Honorable Mentions,H3 rule,3-4 H3s in Honorable Mentions,PASSED,FALSE
82,component_rules.md,4. Heading Hierarchy Rules,No other components use H3,H3 rule,H3 restricted to FAQ and Honorable Mentions only,PASSED,FALSE
83,component_rules.md,5. Looping Patterns,H2 + Standard Paragraph Loop,Looping pattern,Loops until word count met; All article types,PASSED,FALSE
84,component_rules.md,5. Looping Patterns,Product Card to H2 to Paragraph Loop,Looping pattern,Loops for each product; Affiliate only,PASSED,FALSE
85,component_rules.md,5. Looping Patterns,Step H2 + Paragraph Loop,Looping pattern,5-10 iterations recommended; How-To only,PASSED,FALSE
86,component_rules.md,5. Looping Patterns,Listicle Item H2 + Paragraph Loop,Looping pattern,Odd number of iterations; Listicle only,PASSED,FALSE
87,component_rules.md,5. Looping Patterns,Topic H2 + Topic Overview Loop,Looping pattern,Repeats for each topic minimum 2; Comparison only,PASSED,FALSE
88,component_rules.md,5. Non-Looping Patterns,H1 + Overview Paragraph,Non-looping,Appears exactly ONCE per article,PASSED,FALSE
89,component_rules.md,5. Non-Looping Patterns,Featured Image,Non-looping,Appears exactly ONCE per article,PASSED,FALSE
90,component_rules.md,5. Non-Looping Patterns,FAQ section,Non-looping,Fixed 5 H3s; appears ONCE when enabled,PASSED,FALSE
91,component_rules.md,5. Non-Looping Patterns,Closing H2 + Closing Paragraph,Non-looping,Appears exactly ONCE when enabled,PASSED,FALSE
92,component_rules.md,5. Non-Looping Patterns,Pros & Cons Lists,Non-looping,Appears exactly ONCE in Review,PASSED,FALSE
93,component_rules.md,5. Non-Looping Patterns,Comparison Table,Non-looping,Appears exactly ONCE in Comparison,PASSED,FALSE
94,component_rules.md,5. Non-Looping Patterns,Key Takeaways Box,Non-looping,Appears exactly ONCE in Informational,PASSED,FALSE
95,component_rules.md,5. Non-Looping Patterns,Rating H2 + Rating Paragraph,Non-looping,Appears exactly ONCE in Review,PASSED,FALSE
96,component_rules.md,5. Non-Looping Patterns,Materials/Requirements Box,Non-looping,Appears exactly ONCE in How-To,PASSED,FALSE
97,component_rules.md,5. Non-Looping Patterns,CTA Box,Non-looping,Appears exactly ONCE in Commercial,PASSED,FALSE
98,component_rules.md,5. Non-Looping Patterns,Quick Verdict Box,Non-looping,Appears exactly ONCE in Comparison,PASSED,FALSE
99,component_rules.md,5. Non-Looping Patterns,Service Info Box,Non-looping,Appears exactly ONCE in Local,PASSED,FALSE
100,component_rules.md,5. Non-Looping Patterns,Nutrition Table,Non-looping,Appears exactly ONCE in Recipe,PASSED,FALSE
101,component_rules.md,5. Non-Looping Patterns,All Box type components,Non-looping,Boxes appear exactly ONCE when enabled,PASSED,FALSE
102,component_rules.md,6. Paragraph Sub-Structures,Overview Paragraph,Sub-structure,2 sub-paragraphs; Introduces topic in two parts,PASSED,FALSE
103,component_rules.md,6. Paragraph Sub-Structures,Standard Paragraph,Sub-structure,3 sub-paragraphs; Main content paragraph,PASSED,FALSE
104,component_rules.md,6. Paragraph Sub-Structures,Closing Paragraph,Sub-structure,1 sub-paragraph; Single concluding paragraph,PASSED,FALSE
105,component_rules.md,6. Paragraph Sub-Structures,FAQ Answer,Sub-structure,1 sub-paragraph; Single answer per question,PASSED,FALSE
106,component_rules.md,6. Paragraph Sub-Structures,Topic Overview,Sub-structure,2 sub-paragraphs; Para 1: What+feature; Para 2: Who+benefit,PASSED,FALSE
107,component_rules.md,6. Paragraph Sub-Structures,Rating Paragraph,Sub-structure,1 sub-paragraph; Score and justification,PASSED,FALSE
108,component_rules.md,6. Paragraph Sub-Structures,Tips Paragraph,Sub-structure,3 sub-paragraphs; Cooking advice in three parts,PASSED,FALSE
109,component_rules.md,6. Paragraph Sub-Structures,Honorable Mentions Paragraph,Sub-structure,1 sub-paragraph; Single description per mention,PASSED,FALSE
110,component_rules.md,6. Paragraph Sub-Structures,Topic Overview Detailed - Paragraph 1,Sub-structure detail,40 words; 3-4 lines; What it is + Main feature,PASSED,FALSE
111,component_rules.md,6. Paragraph Sub-Structures,Topic Overview Detailed - Paragraph 2,Sub-structure detail,40 words; 3-4 lines; Who it's for + Key benefit,PASSED,FALSE
112,component_rules.md,6. Paragraph Sub-Structures,Topic Overview Total,Sub-structure detail,80 words total (2x40 words),PASSED,FALSE
113,component_rules.md,6. Paragraph Sub-Structures,Naming Convention - Overview Paragraph,Naming rule,Use Overview Paragraph NOT Introduction Paragraph,PASSED,FALSE
114,component_rules.md,7. List Format Types,Bullet Format vs Paragraph Prose,Critical rule,All list components use BULLET FORMAT for scannability NOT paragraph prose,PASSED,FALSE
115,component_rules.md,7. List Format Types - Bulleted,Feature List,Bulleted list,Commercial; 5-7 bullets; 15-20 words per bullet,PASSED,FALSE
116,component_rules.md,7. List Format Types - Bulleted,Key Takeaways Box,Bulleted list,Informational; 5-6 bullets; 10-12 words per bullet,PASSED,FALSE
117,component_rules.md,7. List Format Types - Bulleted,Quick Facts List,Bulleted list,Informational; 5-7 bullets; 12-15 words per bullet,PASSED,FALSE
118,component_rules.md,7. List Format Types - Bulleted,Materials/Requirements Box,Bulleted list,How-To; 5-15 bullets; 2-12 words per bullet,PASSED,FALSE
119,component_rules.md,7. List Format Types - Bulleted,Pro Tips List,Bulleted list,How-To; 5-7 bullets; 12-18 words per bullet,PASSED,FALSE
120,component_rules.md,7. List Format Types - Bulleted,Why Choose Local List,Bulleted list,Local; 4-5 bullets; 8-12 words per bullet,PASSED,FALSE
121,component_rules.md,7. List Format Types - Bulleted,Ingredients List,Bulleted list,Recipe; Variable bullets; Variable words,PASSED,FALSE
122,component_rules.md,7. List Format Types - Bulleted,Features List,Bulleted list,Review; 7-10 bullets; 15-20 words per bullet,PASSED,FALSE
123,component_rules.md,7. List Format Types - Bulleted,Pros List,Bulleted list,Review; 5-7 bullets; 10-15 words per bullet,PASSED,FALSE
124,component_rules.md,7. List Format Types - Bulleted,Cons List,Bulleted list,Review; 5-7 bullets; 10-15 words per bullet,PASSED,FALSE
125,component_rules.md,7. List Format Types - Numbered,Instructions List,Numbered list,Recipe; One step per list item; clear sequential flow,PASSED,FALSE
126,component_rules.md,7. List Format Types - Numbered,Instructions List - Steps rule,Numbered list rule,Steps must be in logical sequential order,PASSED,FALSE
127,component_rules.md,7. List Format Types - Numbered,Instructions List - Language rule,Numbered list rule,Clear actionable language,PASSED,FALSE
128,component_rules.md,7. List Format Types - Numbered,Instructions List - Word count,Numbered list rule,Flexible 150-400 words based on recipe complexity,PASSED,FALSE
129,component_rules.md,8. Table Format Types,Comparison Table Structure,Table structure,Rows: features; Columns: topics,PASSED,FALSE
130,component_rules.md,8. Table Format Types,Service Info Box Structure,Table structure,2 columns: Label and Information,PASSED,FALSE
131,component_rules.md,8. Table Format Types,Nutrition Table Structure,Table structure,Nutritional values with amounts,PASSED,FALSE
132,component_rules.md,9. Component Summary,Total Universal Components,Count,16 components,PASSED,FALSE
133,component_rules.md,9. Component Summary,Total Unique Components,Count,26 components,PASSED,FALSE
134,component_rules.md,9. Component Summary,Total Components,Count,42 components total,PASSED,FALSE
135,component_rules.md,9. Component Summary,Affiliate Unique Count,Count,1 unique component,PASSED,FALSE
136,component_rules.md,9. Component Summary,Commercial Unique Count,Count,3 unique components,PASSED,FALSE
137,component_rules.md,9. Component Summary,Comparison Unique Count,Count,4 unique components,PASSED,FALSE
138,component_rules.md,9. Component Summary,How-To Unique Count,Count,4 unique components,PASSED,FALSE
139,component_rules.md,9. Component Summary,Informational Unique Count,Count,3 unique components,PASSED,FALSE
140,component_rules.md,9. Component Summary,Listicle Unique Count,Count,4 unique components,PASSED,FALSE
141,component_rules.md,9. Component Summary,Local Unique Count,Count,4 unique components,PASSED,FALSE
142,component_rules.md,9. Component Summary,Recipe Unique Count,Count,8 unique components,PASSED,FALSE
143,component_rules.md,9. Component Summary,Review Unique Count,Count,6 unique components,PASSED,FALSE
144,component_rules.md,10. Component Sequence - Informational,Sequence Position 1,Sequence,H1 - 60 chars - Universal - Required,PASSED,FALSE
145,component_rules.md,10. Component Sequence - Informational,Sequence Position 2,Sequence,Featured Image - Generated from H1 - Universal - Required,PASSED,FALSE
146,component_rules.md,10. Component Sequence - Informational,Sequence Position 3,Sequence,Overview Paragraph - 100 words (2x50) - Universal - Required,PASSED,FALSE
147,component_rules.md,10. Component Sequence - Informational,Sequence Position 4,Sequence,Key Takeaways Box - 50-75 words (5-6 bullets x 10-12 words) - Unique - Required,PASSED,FALSE
148,component_rules.md,10. Component Sequence - Informational,Sequence Position 5,Sequence,H2 - 60 chars (loops) - Universal - Required,PASSED,FALSE
149,component_rules.md,10. Component Sequence - Informational,Sequence Position 6,Sequence,H2 Image - Generated from H2 - Universal - Optional,PASSED,FALSE
150,component_rules.md,10. Component Sequence - Informational,Sequence Position 7,Sequence,Standard Paragraph - 150 words (3x50 loops) - Universal - Required,PASSED,FALSE
151,component_rules.md,10. Component Sequence - Informational,Sequence Position 8,Sequence,Quick Facts H2 - 40-50 chars - Unique - Optional,PASSED,FALSE
152,component_rules.md,10. Component Sequence - Informational,Sequence Position 9,Sequence,Quick Facts List - 80-100 words (5-7 bullets x 12-15 words) - Unique - Optional,PASSED,FALSE
153,component_rules.md,10. Component Sequence - Informational,Sequence Position 10,Sequence,Closing H2 - 60 chars - Universal - Required,PASSED,FALSE
154,component_rules.md,10. Component Sequence - Informational,Sequence Position 11,Sequence,Closing Paragraph - 50 words - Universal - Required,PASSED,FALSE
155,component_rules.md,10. Component Sequence - Listicle,Sequence Position 1,Sequence,H1 - 60 chars - Universal - Required,PASSED,FALSE
156,component_rules.md,10. Component Sequence - Listicle,Sequence Position 2,Sequence,Featured Image - Generated from H1 - Universal - Required,PASSED,FALSE
157,component_rules.md,10. Component Sequence - Listicle,Sequence Position 3,Sequence,Overview Paragraph - 100 words (2x50) - Universal - Required,PASSED,FALSE
158,component_rules.md,10. Component Sequence - Listicle,Sequence Position 4,Sequence,H2 Item 1/2/3... - 60 chars (loops odd numbers) - Universal - Required,PASSED,FALSE
159,component_rules.md,10. Component Sequence - Listicle,Sequence Position 5,Sequence,H2 Image - Generated from H2 - Universal - Optional,PASSED,FALSE
160,component_rules.md,10. Component Sequence - Listicle,Sequence Position 6,Sequence,Standard Paragraph - 150 words (3x50 loops) - Universal - Required,PASSED,FALSE
161,component_rules.md,10. Component Sequence - Listicle,Sequence Position 7,Sequence,Honorable Mentions H2 - 40-50 chars - Unique - Optional,PASSED,FALSE
162,component_rules.md,10. Component Sequence - Listicle,Sequence Position 8,Sequence,Honorable Mentions H3 - 30-40 chars (3-4 fixed) - Unique - Optional,PASSED,FALSE
163,component_rules.md,10. Component Sequence - Listicle,Sequence Position 9,Sequence,Honorable Mentions Paragraph - 40-50 words per H3 - Unique - Optional,PASSED,FALSE
164,component_rules.md,10. Component Sequence - Listicle,Sequence Position 10,Sequence,Closing H2 - 60 chars - Universal - Optional,PASSED,FALSE
165,component_rules.md,10. Component Sequence - Listicle,Sequence Position 11,Sequence,Closing Paragraph - 50 words - Universal - Optional,PASSED,FALSE
166,component_rules.md,10. Component Sequence - Local,Sequence Position 1,Sequence,H1 - 60 chars - Universal - Required,PASSED,FALSE
167,component_rules.md,10. Component Sequence - Local,Sequence Position 2,Sequence,Featured Image - Generated from H1 - Universal - Required,PASSED,FALSE
168,component_rules.md,10. Component Sequence - Local,Sequence Position 3,Sequence,Overview Paragraph - 100 words (2x50) - Universal - Required,PASSED,FALSE
169,component_rules.md,10. Component Sequence - Local,Sequence Position 4,Sequence,H2 - 60 chars (loops) - Universal - Required,PASSED,FALSE
170,component_rules.md,10. Component Sequence - Local,Sequence Position 5,Sequence,H2 Image - Generated from H2 - Universal - Optional,PASSED,FALSE
171,component_rules.md,10. Component Sequence - Local,Sequence Position 6,Sequence,Standard Paragraph - 150 words (3x50 loops) - Universal - Required,PASSED,FALSE
172,component_rules.md,10. Component Sequence - Local,Sequence Position 7,Sequence,Why Choose Local H2 - 40-50 chars - Unique - Optional,PASSED,FALSE
173,component_rules.md,10. Component Sequence - Local,Sequence Position 8,Sequence,Why Choose Local Image - Left-aligned beside list - Unique - Optional,PASSED,FALSE
174,component_rules.md,10. Component Sequence - Local,Sequence Position 9,Sequence,Why Choose Local List - 40-60 words (4-5 bullets x 8-12 words) - Unique - Optional,PASSED,FALSE
175,component_rules.md,10. Component Sequence - Local,Sequence Position 10,Sequence,Service Info Box - 40-60 words (5-6 rows from settings) - Unique - Optional,PASSED,FALSE
176,component_rules.md,10. Component Sequence - Local,Sequence Position 11,Sequence,Closing H2 - 60 chars - Universal - Optional,PASSED,FALSE
177,component_rules.md,10. Component Sequence - Local,Sequence Position 12,Sequence,Closing Paragraph - 50 words - Universal - Optional,PASSED,FALSE
178,component_rules.md,10. Component Sequence - Review,Sequence Position 1,Sequence,H1 - 60 chars - Universal - Required,PASSED,FALSE
179,component_rules.md,10. Component Sequence - Review,Sequence Position 2,Sequence,Featured Image - Generated from H1 - Universal - Required,PASSED,FALSE
180,component_rules.md,10. Component Sequence - Review,Sequence Position 3,Sequence,Overview Paragraph - 100 words (2x50) - Universal - Required,PASSED,FALSE
181,component_rules.md,10. Component Sequence - Review,Sequence Position 4,Sequence,Features H2 - 60 chars - Unique - Required,PASSED,FALSE
182,component_rules.md,10. Component Sequence - Review,Sequence Position 5,Sequence,H2 Image - Generated from H2 - Universal - Optional,PASSED,FALSE
183,component_rules.md,10. Component Sequence - Review,Sequence Position 6,Sequence,Features List - 150 words (7-10 bullets x 15-20 words) - Unique - Required,PASSED,FALSE
184,component_rules.md,10. Component Sequence - Review,Sequence Position 7,Sequence,Pros & Cons H2 - 60 chars - Unique - Required,PASSED,FALSE
185,component_rules.md,10. Component Sequence - Review,Sequence Position 8,Sequence,Pros & Cons Lists - 150 words (75+75 5-7 bullets each x 10-15 words) - Unique - Required,PASSED,FALSE
186,component_rules.md,10. Component Sequence - Review,Sequence Position 9,Sequence,H2 - 60 chars (loops) - Universal - Required,PASSED,FALSE
187,component_rules.md,10. Component Sequence - Review,Sequence Position 10,Sequence,H2 Image - Generated from H2 - Universal - Optional,PASSED,FALSE
188,component_rules.md,10. Component Sequence - Review,Sequence Position 11,Sequence,Standard Paragraph - 150 words (3x50 loops) - Universal - Required,PASSED,FALSE
189,component_rules.md,10. Component Sequence - Review,Sequence Position 12,Sequence,Rating H2 - 30 chars - Unique - Required,PASSED,FALSE
190,component_rules.md,10. Component Sequence - Review,Sequence Position 13,Sequence,Rating Paragraph - 100 words - Unique - Required,PASSED,FALSE
191,component_rules.md,10. Component Sequence - Review,Sequence Position 14,Sequence,Closing H2 - 60 chars - Universal - Required,PASSED,FALSE
192,component_rules.md,10. Component Sequence - Review,Sequence Position 15,Sequence,Closing Paragraph - 50 words - Universal - Required,PASSED,FALSE
193,component_rules.md,10. Component Sequence - Recipe,Sequence Position 1,Sequence,H1 - 60 chars - Universal - Required,PASSED,FALSE
194,component_rules.md,10. Component Sequence - Recipe,Sequence Position 2,Sequence,Featured Image - Generated from H1 - Universal - Required,PASSED,FALSE
195,component_rules.md,10. Component Sequence - Recipe,Sequence Position 3,Sequence,Overview Paragraph - 100 words (2x50) - Universal - Required,PASSED,FALSE
196,component_rules.md,10. Component Sequence - Recipe,Sequence Position 4,Sequence,Ingredients H2 - 60 chars - Unique - Required,PASSED,FALSE
197,component_rules.md,10. Component Sequence - Recipe,Sequence Position 5,Sequence,Ingredients List - 150 words (bulleted) - Unique - Required,PASSED,FALSE
198,component_rules.md,10. Component Sequence - Recipe,Sequence Position 6,Sequence,Instructions H2 - 60 chars - Unique - Required,PASSED,FALSE
199,component_rules.md,10. Component Sequence - Recipe,Sequence Position 7,Sequence,Instructions List - 150-400 words (numbered) - Unique - Required,PASSED,FALSE
200,component_rules.md,10. Component Sequence - Recipe,Sequence Position 8,Sequence,Tips H2 - 60 chars - Unique - Required,PASSED,FALSE
201,component_rules.md,10. Component Sequence - Recipe,Sequence Position 9,Sequence,Tips Paragraph - 150 words (3x50) - Unique - Required,PASSED,FALSE
202,component_rules.md,10. Component Sequence - Recipe,Sequence Position 10,Sequence,Nutrition Facts H2 - 60 chars - Unique - Optional,PASSED,FALSE
203,component_rules.md,10. Component Sequence - Recipe,Sequence Position 11,Sequence,Nutrition Table - 100 words - Unique - Optional,PASSED,FALSE
204,component_rules.md,10. Component Sequence - Recipe,Sequence Position 12,Sequence,H2 - 60 chars (loops) - Universal - Optional,PASSED,FALSE
205,component_rules.md,10. Component Sequence - Recipe,Sequence Position 13,Sequence,Standard Paragraph - 150 words (loops) - Universal - Optional,PASSED,FALSE
206,component_rules.md,10. Component Sequence - Recipe,Sequence Position 14,Sequence,FAQ H2 - 30 chars - Universal - Optional,PASSED,FALSE
207,component_rules.md,10. Component Sequence - Recipe,Sequence Position 15,Sequence,FAQ H3 - 30-60 chars (5 fixed) - Universal - Optional,PASSED,FALSE
208,component_rules.md,10. Component Sequence - Recipe,Sequence Position 16,Sequence,FAQ Answer Paragraph - 28 words each (140 total) - Universal - Optional,PASSED,FALSE
209,component_rules.md,11. Badge Rules - Approved Labels,Best Seller,Badge label,11 chars; Top-selling products (Affiliate),PASSED,FALSE
210,component_rules.md,11. Badge Rules - Approved Labels,Top Pick,Badge label,8 chars; Editor's recommendation,PASSED,FALSE
211,component_rules.md,11. Badge Rules - Approved Labels,Editor's Choice,Badge label,15 chars; Curated selection,PASSED,FALSE
212,component_rules.md,11. Badge Rules - Approved Labels,Verified,Badge label,8 chars; Verified product/service,PASSED,FALSE
213,component_rules.md,11. Badge Rules - Approved Labels,Recommended,Badge label,11 chars; General recommendation,PASSED,FALSE
214,component_rules.md,11. Badge Rules - Approved Labels,Best Value,Badge label,10 chars; Price-to-quality ratio,PASSED,FALSE
215,component_rules.md,11. Badge Rules - Approved Labels,Premium,Badge label,7 chars; High-end option,PASSED,FALSE
216,component_rules.md,11. Badge Rules - Approved Labels,Budget Pick,Badge label,11 chars; Affordable option,PASSED,FALSE
217,component_rules.md,11. Badge Rules - Approved Labels,Most Popular,Badge label,12 chars; Popularity-based,PASSED,FALSE
